country;deposit_number;total_deposited, usd;total_deposited, usd MAX;%
BR;1 deposit;129366.9;129366.9;100.0
BR;2 deposit;51506.6;129366.9;39.814
BR;3 deposit;37336.8;129366.9;28.861
BR;4 deposit;29683.2;129366.9;22.945
BR;5 deposit;24921.3;129366.9;19.264
BR;6 deposit;22263.0;129366.9;17.209
BR;7 deposit;18223.1;129366.9;14.086
FR;1 deposit;125594.1;125594.1;100.0
FR;2 deposit;65069.6;125594.1;51.809
FR;3 deposit;47849.7;125594.1;38.099
FR;4 deposit;39229.0;125594.1;31.235
FR;5 deposit;32569.7;125594.1;25.933
FR;6 deposit;30469.9;125594.1;24.261
FR;7 deposit;27752.3;125594.1;22.097
GR;1 deposit;118366.8;118366.8;100.0
GR;2 deposit;70076.2;118366.8;59.203
GR;3 deposit;61164.2;118366.8;51.673
GR;4 deposit;53555.6;118366.8;45.245
GR;5 deposit;47180.0;118366.8;39.859
GR;6 deposit;44167.1;118366.8;37.314
GR;7 deposit;40749.9;118366.8;34.427
KZ;1 deposit;7148.9;7148.9;100.0
KZ;2 deposit;4706.5;7148.9;65.835
KZ;3 deposit;3854.1;7148.9;53.912
KZ;4 deposit;3435.5;7148.9;48.056
KZ;5 deposit;2970.7;7148.9;41.555
KZ;6 deposit;2690.6;7148.9;37.637
KZ;7 deposit;2587.7;7148.9;36.197
PT;1 deposit;224000.9;224000.9;100.0
PT;2 deposit;124811.8;224000.9;55.719
PT;3 deposit;92454.6;224000.9;41.274
PT;4 deposit;83254.1;224000.9;37.167
PT;5 deposit;74851.6;224000.9;33.416
PT;6 deposit;68986.2;224000.9;30.797
PT;7 deposit;62604.6;224000.9;27.948
