country,date,new_registration_count
KZ,2023-08-01,229
KZ,2023-08-02,192
KZ,2023-08-03,277
KZ,2023-08-04,165
KZ,2023-08-05,212
KZ,2023-08-06,139
KZ,2023-08-07,240
KZ,2023-08-08,235
KZ,2023-08-09,199
KZ,2023-08-10,119
KZ,2023-08-11,184
KZ,2023-08-12,227
KZ,2023-08-13,234
KZ,2023-08-14,232
KZ,2023-08-15,222
KZ,2023-08-16,279
KZ,2023-08-17,191
KZ,2023-08-18,151
KZ,2023-08-19,187
KZ,2023-08-20,241
KZ,2023-08-21,228
KZ,2023-08-22,230
KZ,2023-08-23,170
KZ,2023-08-24,228
KZ,2023-08-25,243
KZ,2023-08-26,545
KZ,2023-08-27,477
KZ,2023-08-28,252
KZ,2023-08-29,326
KZ,2023-08-30,419
KZ,2023-08-31,263
PT,2023-08-01,817
PT,2023-08-02,1222
PT,2023-08-03,1118
PT,2023-08-04,1272
PT,2023-08-05,1197
PT,2023-08-06,1035
PT,2023-08-07,1138
PT,2023-08-08,1474
PT,2023-08-09,1441
PT,2023-08-10,1341
PT,2023-08-11,1264
PT,2023-08-12,1349
PT,2023-08-13,1406
PT,2023-08-14,1280
PT,2023-08-15,1116
PT,2023-08-16,1185
PT,2023-08-17,1108
PT,2023-08-18,884
PT,2023-08-19,1055
PT,2023-08-20,1101
PT,2023-08-21,936
PT,2023-08-22,1122
PT,2023-08-23,1249
PT,2023-08-24,1180
PT,2023-08-25,1199
PT,2023-08-26,1056
PT,2023-08-27,1223
PT,2023-08-28,1047
PT,2023-08-29,1181
PT,2023-08-30,1411
PT,2023-08-31,1178
FR,2023-08-01,606
FR,2023-08-02,681
FR,2023-08-03,1475
FR,2023-08-04,11
FR,2023-08-05,71
FR,2023-08-06,247
FR,2023-08-07,378
FR,2023-08-08,1013
FR,2023-08-09,1633
FR,2023-08-10,1841
FR,2023-08-11,2457
FR,2023-08-12,1874
FR,2023-08-13,1641
FR,2023-08-14,1734
FR,2023-08-15,1554
FR,2023-08-16,1259
FR,2023-08-17,938
FR,2023-08-18,758
FR,2023-08-19,777
FR,2023-08-20,728
FR,2023-08-21,587
FR,2023-08-22,496
FR,2023-08-23,365
FR,2023-08-24,420
FR,2023-08-25,372
FR,2023-08-26,521
FR,2023-08-27,447
FR,2023-08-28,452
FR,2023-08-29,469
FR,2023-08-30,610
FR,2023-08-31,676
BR,2023-08-01,4491
BR,2023-08-02,4964
BR,2023-08-03,4324
BR,2023-08-04,4914
BR,2023-08-05,4947
BR,2023-08-06,5571
BR,2023-08-07,3906
BR,2023-08-08,4430
BR,2023-08-09,2865
BR,2023-08-10,1538
BR,2023-08-11,1800
BR,2023-08-12,1844
BR,2023-08-13,1708
BR,2023-08-14,987
BR,2023-08-15,1352
BR,2023-08-16,1533
BR,2023-08-17,1743
BR,2023-08-18,1461
BR,2023-08-19,1532
BR,2023-08-20,1368
BR,2023-08-21,1529
BR,2023-08-22,2224
BR,2023-08-23,2290
BR,2023-08-24,1117
BR,2023-08-25,1193
BR,2023-08-26,1446
BR,2023-08-27,1194
BR,2023-08-28,1083
BR,2023-08-29,1174
BR,2023-08-30,1265
BR,2023-08-31,1289
GR,2023-08-01,453
GR,2023-08-02,442
GR,2023-08-03,404
GR,2023-08-04,382
GR,2023-08-05,412
GR,2023-08-06,423
GR,2023-08-07,428
GR,2023-08-08,377
GR,2023-08-09,439
GR,2023-08-10,554
GR,2023-08-11,698
GR,2023-08-12,806
GR,2023-08-13,783
GR,2023-08-14,818
GR,2023-08-15,577
GR,2023-08-16,479
GR,2023-08-17,453
GR,2023-08-18,520
GR,2023-08-19,634
GR,2023-08-20,453
GR,2023-08-21,526
GR,2023-08-22,503
GR,2023-08-23,589
GR,2023-08-24,435
GR,2023-08-25,456
GR,2023-08-26,592
GR,2023-08-27,542
GR,2023-08-28,541
GR,2023-08-29,571
GR,2023-08-30,558
GR,2023-08-31,572
